3d,{'Doc1.docx': 3}
radiology,{'Doc1.docx': 3}
lab,"{'Doc1.docx': 4, 'Doc4.docx': 1, 'Doc6.docx': 1}"
stanford,"{'Doc1.docx': 13, 'Doc2.docx': 19, 'Doc3.docx': 2, 'Doc4.docx': 1, 'Doc5.docx': 5, 'Doc6.docx': 9}"
university,"{'Doc1.docx': 2, 'Doc2.docx': 3, 'Doc4.docx': 1, 'Doc5.docx': 1, 'Doc6.docx': 3}"
school,"{'Doc1.docx': 6, 'Doc2.docx': 8, 'Doc5.docx': 4, 'Doc6.docx': 1}"
of,"{'Doc1.docx': 13, 'Doc2.docx': 21, 'Doc3.docx': 21, 'Doc4.docx': 5, 'Doc5.docx': 9, 'Doc6.docx': 7}"
medicine,"{'Doc1.docx': 9, 'Doc2.docx': 10, 'Doc5.docx': 5}"
and,"{'Doc1.docx': 15, 'Doc2.docx': 11, 'Doc3.docx': 17, 'Doc4.docx': 11, 'Doc5.docx': 2, 'Doc6.docx': 5}"
quantitative,{'Doc1.docx': 4}
imaging,{'Doc1.docx': 5}
in,"{'Doc1.docx': 4, 'Doc2.docx': 3, 'Doc3.docx': 7, 'Doc4.docx': 5, 'Doc6.docx': 3}"
the,"{'Doc1.docx': 9, 'Doc2.docx': 26, 'Doc3.docx': 39, 'Doc4.docx': 7, 'Doc5.docx': 2, 'Doc6.docx': 9}"
department,"{'Doc1.docx': 1, 'Doc2.docx': 7, 'Doc4.docx': 2}"
search,"{'Doc1.docx': 1, 'Doc2.docx': 1, 'Doc4.docx': 1, 'Doc5.docx': 1, 'Doc6.docx': 2}"
this,"{'Doc1.docx': 2, 'Doc2.docx': 2, 'Doc3.docx': 2, 'Doc4.docx': 1, 'Doc5.docx': 2, 'Doc6.docx': 2}"
site,"{'Doc1.docx': 2, 'Doc2.docx': 3, 'Doc5.docx': 2, 'Doc6.docx': 2}"
only,"{'Doc1.docx': 2, 'Doc2.docx': 1, 'Doc5.docx': 2}"
medical,"{'Doc1.docx': 5, 'Doc2.docx': 4, 'Doc5.docx': 1}"
sites,"{'Doc1.docx': 1, 'Doc2.docx': 1, 'Doc5.docx': 1}"
ways,"{'Doc1.docx': 3, 'Doc2.docx': 3, 'Doc5.docx': 2}"
to,"{'Doc1.docx': 11, 'Doc2.docx': 16, 'Doc3.docx': 15, 'Doc4.docx': 3, 'Doc5.docx': 3, 'Doc6.docx': 2}"
give,"{'Doc1.docx': 3, 'Doc2.docx': 3, 'Doc5.docx': 2}"
find,"{'Doc1.docx': 5, 'Doc2.docx': 5, 'Doc5.docx': 2}"
a,"{'Doc1.docx': 6, 'Doc2.docx': 11, 'Doc3.docx': 10, 'Doc4.docx': 2, 'Doc5.docx': 2, 'Doc6.docx': 5}"
person,"{'Doc1.docx': 3, 'Doc2.docx': 3, 'Doc5.docx': 2}"
alumni,"{'Doc1.docx': 2, 'Doc2.docx': 6, 'Doc5.docx': 1, 'Doc6.docx': 1}"
lane,"{'Doc1.docx': 2, 'Doc2.docx': 2, 'Doc5.docx': 1}"
library,"{'Doc1.docx': 3, 'Doc2.docx': 3, 'Doc5.docx': 1, 'Doc6.docx': 2}"
about,"{'Doc1.docx': 4, 'Doc2.docx': 3, 'Doc3.docx': 1, 'Doc4.docx': 1, 'Doc5.docx': 3, 'Doc6.docx': 3}"
us,"{'Doc1.docx': 6, 'Doc2.docx': 4, 'Doc4.docx': 1, 'Doc5.docx': 3, 'Doc6.docx': 5}"
mission,{'Doc1.docx': 1}
develop,{'Doc1.docx': 2}
apply,"{'Doc1.docx': 1, 'Doc3.docx': 1}"
innovative,"{'Doc1.docx': 1, 'Doc4.docx': 1}"
techniques,{'Doc1.docx': 2}
for,"{'Doc1.docx': 5, 'Doc2.docx': 2, 'Doc3.docx': 9, 'Doc4.docx': 1, 'Doc5.docx': 4, 'Doc6.docx': 9}"
efficient,{'Doc1.docx': 1}
analysis,{'Doc1.docx': 3}
display,{'Doc1.docx': 1}
data,{'Doc1.docx': 2}
through,"{'Doc1.docx': 1, 'Doc3.docx': 6}"
interdisciplinary,{'Doc1.docx': 1}
collaboration,"{'Doc1.docx': 1, 'Doc3.docx': 3}"
goals,{'Doc1.docx': 1}
education,"{'Doc1.docx': 5, 'Doc2.docx': 2, 'Doc3.docx': 2, 'Doc6.docx': 1}"
train,{'Doc1.docx': 1}
physicians,{'Doc1.docx': 2}
technologists,{'Doc1.docx': 1}
locally,{'Doc1.docx': 1}
worldwide,{'Doc1.docx': 1}
latest,{'Doc1.docx': 1}
developments,{'Doc1.docx': 1}
